BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by First Class Homes Inc,Multi-family home for sale,769000,2,2,2184.207862,101-55 112th St,"Richmond Hill South, NY 11419"
Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2,2536,66 Bay 22nd St,"Brooklyn, NY 11214"
Brokered by VYLLA HOME,Co-op for sale,220500,2,1,900,350 Richmond Ter Apt 3M,"Staten Island, NY 10301"
Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3,2739,259 80th St,"Brooklyn, NY 11209"
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,3250000,2,2,1300,240 Centre St Unit 2M,"New York, NY 10013"
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2,1267,473 Hicks St Apt 4,"Brooklyn, NY 11231"
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4,2554,342 Manhattan St,"Staten Island, NY 10307"
Brokered by American Homes Group,House for sale,998800,3,4,2400,1191 Clove Rd,"Staten Island, NY 10301"
Brokered by American Homes Group,House for sale,998800,3,4,2400,Waldron Ave,"Staten Island, NY 10301"
Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2,1952,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1,2184.207862,263 W End Ave Apt 14C,"Manhattan, NY 10023"
Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1,800,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1,835,333 E 66th St Apt 8E,"New York, NY 10065"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2,1029,150 Rivington St Apt 3G,"New York, NY 10002"
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2,1201,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218"
Brokered by COMPASS,Condo for sale,1395000,2,2,1182,737 Bergen St Apt 1B,"Brooklyn, NY 11238"
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1,2184.207862,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421"
Brokered by Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,1400,35 Center Pl,"Staten Island, NY 10306"
